Index Number,Stop Number,Common Stop Name,Street Name,Town Name,Latitude,Longitude
IE16934,853000038,Creeslough,,,55.123,-7.9092
IE16935,853000039,Creeslough,,,55.123,-7.9092
IE16936,12386,Anagaire,,Annagry,55.022,-8.3186
IE16937,14599,Anagaire,,Annagry,55.022,-8.3186
IE16938,13577,Dunfanaghy,,Dunfanaghy,55.1833,-7.9717
IE16939,12273,Dún Lúiche,,Dunlewy Service Station,55.0305,-8.1421
IE16940,12274,Dún Lúiche,,Dunlewy Service Station,55.0303,-8.1422
IE16941,11270,Letterkenny Bus Station,,Mr. Chippy Chip Shop,54.9542,-7.7288
IE16942,13709,Letterkenny Bus Station,,Mr. Chippy Chip Shop,54.9537,-7.7293
IE16943,13752,Canal Road,,Dunnes Stores Letterkenny,54.947,-7.7307
IE16944,853000269,Mill Road,,Mill Road,54.9515,-8.3678
IE16945,12263,Church Hill,,Church Hill Post Office,54.9887,-7.8918
IE16946,853000017,Carrick Glen Road,,Glen Road Carrick,54.6578,-8.6334
IE16947,12271,Loch an Iúir,N56,Loughanure,54.9985,-8.2899
IE16948,13710,Béal na Cruite,R259,Keadue,55.0013,-8.3975
IE16949,14671,Ballyliffin,,The Atlantic Stores,55.2799,-7.3937
IE16950,12268,Burt,,Burt,55.0394,-7.4336
IE16951,853000043,Gleann Cholm Cille,,Glencolumbkille,54.7062,-8.7243
IE16952,12393,Gort an Choirce,Main Street,Loch Altan,55.1215,-8.133
IE16953,12392,Gort an Choirce,Main Street,Loch Altan,55.1215,-8.1331
IE16954,11253,Gleneely,,Gleneely,55.2398,-7.1476
IE16955,11256,Malin,,Malin,55.295,-7.2594
IE16956,155841,Letterkenny Bus Station,N56,Bus Station,54.9537,-7.7284
IE16957,13014,Pearse Road,,Pearse Road Letterkenny,54.9465,-7.7373
IE16958,155961,ATU Letterkenny,N56,ATU Donegal Letterkenny,54.9508,-7.7214
IE16959,158221,ATU Letterkenny,N56,ATU Donegal Letterkenny,54.9509,-7.7209
IE16960,152271,Lifford,N15,Lifford,54.8316,-7.4824
IE16961,155821,Donegal,R267,Donegal Abbey Hotel,54.6539,-8.1108
IE16962,11216,Donegal,,Donegal Abbey Hotel,54.6536,-8.1105
IE16963,635811,Bundoran West,R267,Bundoran West Bus Stop,54.4766,-8.2895
IE16964,635831,Ballybofey,Main Street,Ballybofey,54.8001,-7.7788
IE16965,635801,Bundoran East,R267,Bundoran East Bus Stop,54.4808,-8.2729
IE16966,158151,Newtowncunningham,Main Street,Newtowncunningham,54.9973,-7.509
IE16967,141041,Drumkeen,,Drumkeen,54.8689,-7.7491
IE16968,141081,Convoy,Letterkenny Road,Convoy,54.8602,-7.6632
IE16969,140091,Finner,,Finner Camp,54.4927,-8.2376
IE16970,141101,Raphoe,William Street,Raphoe,54.8737,-7.6001
IE16971,12275,Redcastle,,Redcastle,55.1595,-7.1342
IE16972,12276,Redcastle,,Redcastle,55.1595,-7.134
IE16973,14598,Main Street,Church Lane,Main Street,54.9506,-7.737
IE16974,11249,Moville,,Main Street,55.189,-7.0398
IE16975,14677,Moville,Malin Road,Main Street,55.1889,-7.0409
IE16976,11248,Moville,,Main Street,55.189,-7.0398
IE16977,853000063,Termon,,Termon,55.0462,-7.8141
